size,loss,SNDR TP (Mbps),SDNR TT (ms),RCVR TP (Mbps),RCVR TT (ms)
1MiB,0%,68.2001,123,839.9,10
10 MiB,0%,626.016,134,4194.3,20
100 MiB,0%,2688.66,312,4194.3,200
500 MiB,0%,4691.62,894,5377.3,780
